รหัสหน่วยงาน,ชื่อหน่วยงาน,ตัวย่อหน่วย,ตัวย่อสังกัด
0515353,ร.ล.ล่องลม,มว.เรือที่ 3,กฟก.1 กร.
05154,กองเรือฟริเกตที่ 2,กฟก.2,กร.
051541,กองบัญชาการ,บก.,กฟก.2 กร.
051542,กองร้อยกองบัญชาการ,ร้อย บก.,กฟก.2 กร.
051543,หมวดเรือที่ 1,มว.เรือที่ 1,กฟก.2 กร.
0515431,ร.ล.เจ้าพระยา,มว.เรือที่ 1,กฟก.2 กร.
0515432,ร.ล.บางปะกง,มว.เรือที่ 1,กฟก.2 กร.
051544,หมวดเรือที่ 2,มว.เรือที่ 2,กฟก.2 กร.
0515441,ร.ล.กระบุรี,มว.เรือที่ 2,กฟก.2 กร.
0515442,ร.ล.สายบุรี,มว.เรือที่ 2,กฟก.2 กร.
051545,หมวดเรือที่ 3,มว.เรือที่ 3,กฟก.2 กร.
0515451,ร.ล.นเรศวร,มว.เรือที่ 3,กฟก.2 กร.
0515452,ร.ล.ตากสิน,มว.เรือที่ 3,กฟก.2 กร.
05155,กองเรือบรรทุกเฮลิคอปเตอร์,กบฮ.,กร.
051551,กองบัญชาการ,บก.,กบฮ.กร.
051552,กองร้อยกองบัญชาการ,ร้อย บก.,กบฮ.กร.
051553,หมวดเรือที่ 1,มว.เรือที่ 1,กบฮ.กร.
0515531,ร.ล.จักรีนฤเบศร,มว.เรือที่ 1,กบฮ.กร.
051554,หมวดเรือที่ 2,มว.เรือที่ 2,กบฮ.กร.
051555,หมวดเรือที่ 3,มว.เรือที่ 3,กบฮ.กร.
05156,กองเรือดำน้ำ,กดน.,กร.
051561,กองบัญชาการ,บก.,กดน.กร.
051562,กองร้อยกองบัญชาการ,ร้อย บก.,กดน.กร.
051563,หมวดเรือที่ 1,มว.เรือที่ 1,กดน.กร.
051564,หมวดเรือที่ 2,มว.เรือที่ 2,กดน.กร.
051565,หมวดเรือที่ 3,มว.เรือที่ 3,กดน.กร.
05157,กองเรือทุ่นระเบิด,กทบ.,กร.
051571,กองบัญชาการ,บก.,กทบ.กร.
051572,กองร้อยกองบัญชาการ,ร้อย บก.,กทบ.กร.
051573,หมวดเรือที่ 1,มว.เรือที่ 1,กทบ.กร.
051574,หมวดเรือที่ 2,มว.เรือที่ 2,กทบ.กร.
0515741,ร.ล.บางระจัน,มว.เรือที่ 2,กฟก.กร.
0515742,ร.ล.หนองสาหร่าย,มว.เรือที่ 2,กฟก.กร.
0515743,ร.ล.ลาดหญ้า,มว.เรือที่ 2,กฟก.กร.
0515744,ร.ล.ท่าดินแดง,มว.เรือที่ 2,กฟก.กร.
051575,หมวดเรือที่ 3,มว.เรือที่ 3,กทบ.กร.
0515751,ร.ล.ถลาง,มว.เรือที่ 3,กฟก.กร.
05158,กองเรือยกพลขึ้นบกและยุทธบริการ,กยพ.,กร.
051581,กองบัญชาการ,บก.,กยพ.กร.
051582,กองร้อยกองบัญชาการ,ร้อย บก.,กยพ.กร.
051583,หมวดเรือที่ 1,มว.เรือที่ 1,กยพ.กร.
0515831,ร.ล.สีชัง,มว.เรือที่ 1,กยพ.กร.
0515832,ร.ล.สุรินทร์,มว.เรือที่ 1,กยพ.กร.
0515833,ร.ล.อ่างทอง,มว.เรือที่ 1,กยพ.กร.
051584,หมวดเรือที่ 2,มว.เรือที่ 2,กยพ.กร.
0515841,ร.ล.ทองแก้ว,มว.เรือที่ 2,กยพ.กร.
0515842,ร.ล.ทองหลาง,มว.เรือที่ 2,กยพ.กร.
0515843,ร.ล.วังนอก,มว.เรือที่ 2,กยพ.กร.
0515844,ร.ล.วังใน,มว.เรือที่ 2,กยพ.กร.
0515845,ร.ล.มันนอก,มว.เรือที่ 2,กยพ.กร.
0515846,ร.ล.มันกลาง,มว.เรือที่ 2,กยพ.กร.
